"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 26 21:47:16 EDT 2022","Thu May 26 21:47:16 EDT 2022","0","","Smoke Testing","","Smoke Testing","Product Page - Smoke","Product Page - Smoke",""
"skipped","Thu May 26 21:47:16 EDT 2022","Thu May 26 21:47:16 EDT 2022","0","","Smoke Testing","","Smoke Testing","Checkout Page - Smoke","Checkout Page - Smoke",""
"passed","Thu May 26 21:46:38 EDT 2022","Thu May 26 21:47:16 EDT 2022","38313","","Smoke Testing","","Smoke Testing","Login Page - Smoke","Login Page - Smoke",""
